v_products_model;v_preorder;v_products_name_1;v_products_description_1;v_products_image;v_products_price;v_products_roznica;v_categories_image_1;v_categories_name_1_1;v_categories_image_2;v_categories_name_2_1;v_categories_image_3;v_categories_name_3_1;v_categories_image_4;v_categories_name_4_1;v_categories_image_5;v_categories_name_5_1;v_categories_image_6;v_categories_name_6_1;v_categories_image_7;v_categories_name_7_1;v_manufacturers_name;v_mo_image_1;v_mo_image_2;v_mo_image_3;v_mo_image_4;v_mo_image_5;EOREOR
"DT20930";"yes";"NEON SENSATION RIBBED SLEEVE PURPLE";"";"DT20930.jpg";"6.74";"431";"";"НАСАДКИ";"";"";"";"";"";"";"";"";"";"";"";"";"Dream Toys";"DT20930-1.jpg";"";"";"";"";EOREOR
"DT20941";"no";"Фаллоимитатор BIGSTUFF DONG WITH HANDLE 10INCH, BLACK";"Реалистичный фаллоимитатор с ручкой, сделан из высококачественного латекса. Очень гибкий, гипоаллергенный. Также используется для анальной стимуляции.";"DT20941.jpg";"32.82";"2100";"";"ФАЛЛОИМИТАТОРЫ";"";"РЕАЛИСТИКИ";"";"";"";"";"";"";"";"";"";"";"Dream Toys";"DT20941-1.jpg";"";"";"";"";EOREOR
"DT20639";"no";"Вибромассажер REALISTX 8INCH VIBRATOR, FLESH";"Вибромассажер с мягкими реалистичными контурами и прорисованными венами. Многоскоростная нарастающая вибрация. Изделие изготовлено из безопасного материала не имеющего запаха. Бренд-производитель: Dream Toys.";"DT20639.jpg";"9.6";"614";"";"ВИБРАТОРЫ";"";"РЕАЛИСТИКИ";"";"";"";"";"";"";"";"";"";"";"Dream Toys";"DT20639-1.jpg";"";"";"";"";EOREOR
"T751095BLKML";"yes";"CROTCHLESS LACE BOW-BACK PANTY, M/L";"Crotchless bow back panty.";"T751095BLKML.jpg";"8.4";"537";"";"СЕКС БЕЛЬЕ И КОСТЮМЫ";"";"ТРУСИКИ";"";"";"";"";"";"";"";"";"";"";"Rene Rofe Lingerie ";"";"";"";"";"";EOREOR
"T751095BLKSM";"yes";"CROTCHLESS LACE BOW-BACK PANTY, S/M";"Crotchless bow back panty.";"T751095BLKSM.jpg";"8.4";"537";"";"СЕКС БЕЛЬЕ И КОСТЮМЫ";"";"ТРУСИКИ";"";"";"";"";"";"";"";"";"";"";"Rene Rofe Lingerie ";"";"";"";"";"";EOREOR
"T160424";"no";"BP MISS BACHELORETTE FLASHING SAS";"A Miss<br>Bachelorette Sash with flashing lights.&nbsp;";"T160424.jpg";"10.75";"688";"";"СУВЕНИРЫ";"";"";"";"";"";"";"";"";"";"";"";"";"Pipedream";"T160424-1.jpg";"";"";"";"";EOREOR
"T830086";"no";"Накладка на ногу для фаллоимитатора Thigh Harness";"Накладка на ногу с отверстием для фаллоимитатора, прекрасный вариант для позы наездницы, можно ее использовать как с партнером, так и самостоятельно, используя подушку.";"T830086.jpg";"17.36";"1111";"";"САДО-МАЗО, ФЕТИШ, БДСМ";"";"ПРОЧЕЕ";"";"";"";"";"";"";"";"";"";"";"Tonga";"";"";"";"";"";EOREOR
"T830086";"no";"Накладка на ногу для фаллоимитатора Thigh Harness";"Накладка на ногу с отверстием для фаллоимитатора, прекрасный вариант для позы наездницы, можно ее использовать как с партнером, так и самостоятельно, используя подушку.";"T830086.jpg";"17.36";"1111";"";"SALE";"";"БДСМ";"";"";"";"";"";"";"";"";"";"";"Tonga";"";"";"";"";"";EOREOR
"T851075";"yes";"CRYSTAL CLITORAL JEWELRY";"<ul><li>Non-piercing clitoral jewelry. </li><li>Non-tarnishing. </li><li>Jewel adornments. </li></ul>";"T851075.jpg";"8.45";"540";"";"САДО-МАЗО, ФЕТИШ, БДСМ";"";"ПРОЧЕЕ";"";"";"";"";"";"";"";"";"";"";"Cal Exotics";"T851075-1.jpg";"";"";"";"";EOREOR
"T840153";"no";"A&E FINGER BANGER PURPLE";"<ul><li>Vibrating finger ring. </li><li>Tapered tip focuses vibrations for maximum pleasure. </li><li>Ring base fits comfortably around your finger. </li><li>Discreet design. </li><li>Single-speed vibe. </li><li>Flexible and stretchy. </li></ul>";"T840153.jpg";"5.68";"363";"";"ВИБРАТОРЫ";"";"ВИБРОПУЛИ";"";"";"";"";"";"";"";"";"";"";"Adam & Eve";"T840153-1.jpg";"";"";"";"";EOREOR
